[2025-10-28 19:44:51 | 1761695091s] --- APP STARTUP ---
Barcode vpre-alpha started at 2025-10-28 19:44:51

[2025-10-28 19:44:58 | 1761695098s] None
[2025-10-28 19:44:58 | 1761695098s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:44:59 | 1761695099s] None
[2025-10-28 19:45:00 | 1761695100s] CursorAction(MoveRel(0, 1))
[2025-10-28 19:45:00 | 1761695100s] run handle_cursor_function
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:00 | 1761695100s] run handle_cursor_function
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] None
[2025-10-28 19:45:00 | 1761695100s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:00 | 1761695100s] run handle_cursor_function
[2025-10-28 19:45:00 | 1761695100s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:00 | 1761695100s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
